# 軍ゲージウィンドウ
GAME_MILITARYGAGEWND_TITLE,"軍勢力ゲージ"
GAME_MILITARYGAGEWND_EXCELLENTTAG,"今月の優秀軍"
GAME_MILITARYGAGEWND_DIRECTION_0,"東"
GAME_MILITARYGAGEWND_DIRECTION_1,"西"
GAME_MILITARYGAGEWND_DIRECTION_2,"南"
GAME_MILITARYGAGEWND_DIRECTION_3,"北"
GAME_MILITARYGAGEWND_BONUSTAG_0,"来月のボーナス効果"
GAME_MILITARYGAGEWND_BONUSTAG_1,"効果発動中"
GAME_MILITARYGAGEWND_ARMYBONUSTAG,"軍ボーナス　:"
GAME_MILITARYGAGEWND_EXERCISESBONUSTAG,"演習ボーナス:"
GAME_MILITARYGAGEWND_ARMYBONUS_0,"獲得経験値増加"
GAME_MILITARYGAGEWND_ARMYBONUS_1,"クエスト報酬2.0倍"
GAME_MILITARYGAGEWND_ARMYBONUS_2,"信頼度上昇効果"
GAME_MILITARYGAGEWND_ARMYBONUS_3,"クエスト報酬1.5倍"
GAME_MILITARYGAGEWND_EXERCISESBONUS_0,"アクロポリスからファーイーストシティへの空路が開通"
GAME_MILITARYGAGEWND_EXERCISESBONUS_1,"アクロポリスからモーグシティへの空路が開通"
GAME_MILITARYGAGEWND_EXERCISESBONUS_2,"アクロポリスからアイアンサウスシティへの空路が開通"
GAME_MILITARYGAGEWND_EXERCISESBONUS_3,"アクロポリスからノーザンシティへの空路が開通"
GAME_MILITARYGAGEWND_POINT_TAG,"騎士団演習総合ポイント"
GAME_MILITARYGAGEWND_POINT_TEXT,"%d / %d  P"
GAME_MILITARYGAGEWND_HELP_BONUS,"優秀軍に所属しているメンバーに効果が付与されます"
GAME_MILITARYGAGEWND_WORLDTAG_0,"次回ワールドボーナス効果を得られる暫定ワールド"
GAME_MILITARYGAGEWND_WORLDTAG_1,"今週の勝利ワールド"
GAME_MILITARYGAGEWND_WORLDBONUSTAG_0,"今回のワールドボーナス:"
GAME_MILITARYGAGEWND_WORLDBONUSTAG_1,"次回のワールドボーナス:"
GAME_MILITARYGAGEWND_WORLDBONUS_0,"獲得経験値%.1f倍"
GAME_MILITARYGAGEWND_WORLDBONUS_1,"クエスト報酬%.1f倍"
GAME_MILITARYGAGEWND_WORLDNAME_0,"Clover"
GAME_MILITARYGAGEWND_WORLDNAME_1,"Lupinus"
GAME_MILITARYGAGEWND_WORLDNAME_2,"Freesia"
GAME_MILITARYGAGEWND_WORLDNAME_3,"Zinnia"
GAME_MILITARYGAGEWND_WORLDBONUS_NEXT_NONE,"※毎週日曜日の騎士団演習ワールド対抗戦で決定されます"

# ワールドゲージウィンドウ
GAME_WORLDGAGEWND_TITLE,"軍勢力ゲージ"
GAME_WORLDGAGEWND_WORLDTAG_0,"現在の優秀ワールド"
GAME_WORLDGAGEWND_WORLDTAG_1,"先週の勝利ワールド"
GAME_WORLDGAGEWND_WORLDBONUS_TAG,"効果発動中"
GAME_WORLDGAGEWND_WORLDBONUS_TITLE,"ワールドボーナス:"
GAME_WORLDGAGEWND_WORLDBONUS_0,"獲得経験値%.1f倍"
GAME_WORLDGAGEWND_WORLDBONUS_1,"クエスト報酬%.1f倍"
GAME_WORLDGAGEWND_WORLDNAME_0,"Clover"
GAME_WORLDGAGEWND_WORLDNAME_1,"Lupinus"
GAME_WORLDGAGEWND_WORLDNAME_2,"Freesia"
GAME_WORLDGAGEWND_WORLDNAME_3,"Zinnia"
